id,publication_date,summary
2020-W47,2020-11-22,"This week has been about notebooks in Julia, vim plugins, open street map, datasette and git."
2020-W48,2020-11-29,"This week has been about SQLite virtual columns, MonetDB, image diffs, URLs and the Internet of Bodies."
2020-W49,2020-12-06,"This week has been about online anonymity, self-hosted archives, differential datalog, a game on politic misinformation and a collection of analogies to explain technical terms."
2020-W50,2020-12-13,"This week has been about TeX, better CLI UX and an embedded JSON database."
2020-W51,2020-12-20,"This week has been about Entity Resolution techniques, a game using Bevy, information visualisation and leaking models."
2020-W52,2020-12-27,"This week has been about point-free programming, hjson, a new terminal multiplexer and open data licenses.

I also published [Dive into Frictionless Data](https://www.seachess.net/notes/dive-into-frictionlessdata) as part of my research on how to publish CSV with enough contextual information."
2021-W01,2021-01-10,"This week has been about preql, sqlite, web component styling, apache arrow and hexagonal grids."
2021-W02,2021-01-17,"This week has been about colours, NLP, design patterns in Rust, taking notes and SQLite encryption."
2021-W03,2021-01-24,"This week has been about category theory, exploring HTML from the command-line, a SQL linter, visual programming and the meaning of open source."
2021-W04,2021-01-31,"This week has been about StrictMark, bacon-sci, semantic web research, JerryScript and a collection of static site generators."
2021-W05,2021-02-07,"This week has been about asdf, text-based games, Turing incomplete languages, Disqus bad practices and software licensing."
2021-W06,2021-02-14,"This week has been about web browsers, neovim, dependency confusion, ssh tunnels and unthinking intelligence."
2021-W07,2021-02-21,"This week has been about MS-DOS games, a data constraint language, a functional puzzle game, WebAssembly memory management and CSS transitions."
2021-W14,2021-04-11,"This week has been about Google tracking, Rust macros, WebAssembly search engines, CSS Grids and Obsidian."
2021-W15,2021-04-18,"This week has been about UI components, PostgreSQL as a graph, notebooks in Elixir, blocking Google tracking and a tool for managing your work."
